SalesID,DateKey,PharmacyID,ProductID,UnitsSold,RevenueEUR,CostEUR,MarginEUR,PromoFlag
S0000001,20240101,PH0002,PR0099,5,128.08,87.55,40.53,No
S0000002,20240101,PH0004,PR0156,4,51.89,34.32,17.57,No
S0000003,20240101,PH0007,PR0004,20,317.73,199.53,118.2,No
S0000004,20240101,PH0009,PR0075,6,90.34,67.49,22.85,No
S0000005,20240101,PH0010,PR0154,2,160.21,124.99,35.22,Yes
S0000006,20240101,PH0012,PR0132,8,93.77,64.7,29.07,No
S0000007,20240101,PH0012,PR0153,11,166.22,99.35,66.87,No
S0000008,20240101,PH0012,PR0047,13,190.5,119.31,71.19,No
S0000009,20240101,PH0012,PR0038,6,35.44,24.82,10.62,No
S0000010,20240101,PH0015,PR0064,6,127.98,92.88,35.1,No
S0000011,20240101,PH0018,PR0119,3,80.4,65.46,14.94,No
S0000012,20240101,PH0024,PR0149,10,72.2,52.14,20.06,No
S0000013,20240101,PH0024,PR0143,4,150.83,124.14,26.69,Yes
S0000014,20240101,PH0024,PR0179,2,20.2,15.11,5.09,No
S0000015,20240101,PH0024,PR0151,12,148.44,101.06,47.38,No
S0000016,20240101,PH0025,PR0053,4,24.62,19.39,5.23,Yes
S0000017,20240101,PH0025,PR0050,3,19.16,13.98,5.18,No
S0000018,20240101,PH0026,PR0218,13,204.99,153.75,51.24,No
S0000019,20240101,PH0027,PR0022,1,24.78,17.38,7.4,No
S0000020,20240101,PH0028,PR0135,10,201.88,137.88,64.0,No
S0000021,20240101,PH0028,PR0052,6,36.99,24.2,12.79,No
S0000022,20240101,PH0028,PR0137,10,174.04,116.81,57.23,No
S0000023,20240101,PH0029,PR0012,4,223.73,176.2,47.53,No
S0000024,20240101,PH0031,PR0204,6,58.84,39.74,19.1,No
S0000025,20240101,PH0032,PR0156,3,40.6,32.44,8.16,Yes
S0000026,20240101,PH0032,PR0115,9,133.47,98.67,34.8,No
S0000027,20240101,PH0033,PR0166,5,61.51,43.8,17.71,No
S0000028,20240101,PH0035,PR0103,5,44.9,32.45,12.45,No
S0000029,20240101,PH0035,PR0193,7,151.08,104.87,46.21,No
S0000030,20240101,PH0039,PR0049,6,319.26,251.8,67.46,No
S0000031,20240101,PH0039,PR0097,16,159.68,111.02,48.66,No
S0000032,20240101,PH0041,PR0040,2,48.96,34.42,14.54,No
S0000033,20240101,PH0045,PR0087,7,52.42,42.42,10.0,Yes
S0000034,20240101,PH0046,PR0002,6,42.18,30.15,12.03,No
S0000035,20240101,PH0047,PR0174,3,27.97,20.75,7.22,No
S0000036,20240101,PH0051,PR0064,5,83.19,61.7,21.49,No
S0000037,20240101,PH0054,PR0102,9,193.19,138.32,54.87,No
S0000038,20240101,PH0054,PR0162,4,13.27,9.0,4.27,No
S0000039,20240101,PH0056,PR0161,2,42.45,34.57,7.88,No
S0000040,20240101,PH0056,PR0132,3,32.12,22.88,9.24,No
S0000041,20240101,PH0057,PR0215,1,50.83,39.13,11.7,No
S0000042,20240101,PH0060,PR0091,4,82.07,51.15,30.92,No
S0000043,20240101,PH0063,PR0009,3,36.09,30.82,5.27,Yes
S0000044,20240101,PH0063,PR0149,11,82.6,59.06,23.54,No
S0000045,20240101,PH0063,PR0029,6,62.09,43.3,18.79,No
S0000046,20240101,PH0064,PR0132,3,26.37,18.38,7.99,No
S0000047,20240101,PH0066,PR0110,5,110.34,69.0,41.34,No
S0000048,20240101,PH0066,PR0068,17,215.52,163.72,51.8,No
S0000049,20240101,PH0066,PR0113,18,126.92,87.93,38.99,No
S0000050,20240101,PH0068,PR0079,6,63.74,45.22,18.52,No
S0000051,20240101,PH0070,PR0175,2,77.1,58.85,18.25,No
S0000052,20240101,PH0071,PR0200,10,72.2,51.46,20.74,No
S0000053,20240101,PH0071,PR0116,6,109.38,77.52,31.86,No
S0000054,20240101,PH0075,PR0078,4,87.32,56.16,31.16,No
S0000055,20240101,PH0075,PR0163,1,104.19,75.57,28.62,No
S0000056,20240101,PH0077,PR0162,12,38.64,27.37,11.27,No
S0000057,20240101,PH0077,PR0013,8,134.96,88.62,46.34,No
S0000058,20240101,PH0077,PR0083,7,79.38,58.52,20.86,Yes
S0000059,20240101,PH0077,PR0087,15,115.95,86.24,29.71,No
S0000060,20240101,PH0078,PR0103,22,177.46,160.76,16.7,Yes
S0000061,20240101,PH0079,PR0190,14,272.89,169.32,103.57,No
S0000062,20240101,PH0081,PR0163,2,230.31,169.06,61.25,No
S0000063,20240101,PH0086,PR0158,2,41.92,27.58,14.34,No
S0000064,20240101,PH0088,PR0041,4,266.36,199.28,67.08,No
S0000065,20240101,PH0089,PR0089,4,54.19,38.58,15.61,No
S0000066,20240101,PH0089,PR0138,2,61.07,45.99,15.08,No
S0000067,20240101,PH0089,PR0143,6,229.6,177.73,51.87,No
S0000068,20240101,PH0093,PR0007,2,26.57,19.84,6.73,Yes
S0000069,20240101,PH0093,PR0203,22,174.06,144.76,29.3,Yes
S0000070,20240101,PH0095,PR0086,9,89.11,63.44,25.67,No
S0000071,20240101,PH0096,PR0004,2,30.26,17.63,12.63,No
S0000072,20240101,PH0096,PR0197,4,84.12,55.53,28.59,No
S0000073,20240101,PH0097,PR0196,7,35.79,26.41,9.38,No
S0000074,20240101,PH0099,PR0054,7,59.9,45.82,14.08,Yes
S0000075,20240101,PH0101,PR0078,12,289.55,187.57,101.98,No
S0000076,20240101,PH0104,PR0203,8,80.34,58.45,21.89,No
