SalesID,DateKey,PharmacyID,ProductID,UnitsSold,RevenueEUR,CostEUR,MarginEUR,PromoFlag,Profit_Margin_Pct,ASP,Margin_Tier
S0000001,20240101,PH0002,PR0099,5,128.08,87.55,40.53,No,31.64,25.62,High Margin
S0000002,20240101,PH0004,PR0156,4,51.89,34.32,17.57,No,33.86,12.97,High Margin
S0000003,20240101,PH0007,PR0004,20,317.73,199.53,118.2,No,37.2,15.89,High Margin
S0000004,20240101,PH0009,PR0075,6,90.34,67.49,22.85,No,25.29,15.06,Medium Margin
S0000005,20240101,PH0010,PR0154,2,160.21,124.99,35.22,Yes,21.98,80.1,Medium Margin
S0000006,20240101,PH0012,PR0132,8,93.77,64.7,29.07,No,31.0,11.72,High Margin
S0000007,20240101,PH0012,PR0153,11,166.22,99.35,66.87,No,40.23,15.11,High Margin
S0000008,20240101,PH0012,PR0047,13,190.5,119.31,71.19,No,37.37,14.65,High Margin
S0000009,20240101,PH0012,PR0038,6,35.44,24.82,10.62,No,29.97,5.91,Medium Margin
S0000010,20240101,PH0015,PR0064,6,127.98,92.88,35.1,No,27.43,21.33,Medium Margin
S0000011,20240101,PH0018,PR0119,3,80.4,65.46,14.94,No,18.58,26.8,Medium Margin
S0000012,20240101,PH0024,PR0149,10,72.2,52.14,20.06,No,27.78,7.22,Medium Margin
S0000013,20240101,PH0024,PR0143,4,150.83,124.14,26.69,Yes,17.7,37.71,Medium Margin
S0000014,20240101,PH0024,PR0179,2,20.2,15.11,5.09,No,25.2,10.1,Medium Margin
S0000015,20240101,PH0024,PR0151,12,148.44,101.06,47.38,No,31.92,12.37,High Margin
S0000016,20240101,PH0025,PR0053,4,24.62,19.39,5.23,Yes,21.24,6.16,Medium Margin
S0000017,20240101,PH0025,PR0050,3,19.16,13.98,5.18,No,27.04,6.39,Medium Margin
S0000018,20240101,PH0026,PR0218,13,204.99,153.75,51.24,No,25.0,15.77,Medium Margin
S0000019,20240101,PH0027,PR0022,1,24.78,17.38,7.4,No,29.86,24.78,Medium Margin
S0000020,20240101,PH0028,PR0135,10,201.88,137.88,64.0,No,31.7,20.19,High Margin
S0000021,20240101,PH0028,PR0052,6,36.99,24.2,12.79,No,34.58,6.16,High Margin
